[Sun 2018-08-12 12:40:39 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 12:40:44 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:40:48 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:40:53 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:40:58 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:41:04 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:41:09 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:41:14 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:41:22 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Sun 2018-08-12 12:41:29 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:41:34 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 18 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 12:41:40 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 19 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:44:42 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:44:49 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 12:44:57 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Sun 2018-08-12 12:45:05 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:45:12 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 12:45:16 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Sun 2018-08-12 12:45:23 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Sun 2018-08-12 12:45:27 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:45:32 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 12:45:36 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 12:45:44 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 12:45:51 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:45:57 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:46:06 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 12:46:13 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:46:19 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Sun 2018-08-12 12:46:26 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 12:46:32 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 12:50:18 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:50:23 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:50:27 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 12:50:31 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 12:50:35 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:50:38 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:50:45 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Sun 2018-08-12 12:50:50 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
