[Thu 2018-04-05 02:23:07 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-04-05 02:23:09 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:23:12 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Thu 2018-04-05 02:23:14 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:23:17 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:23:19 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-05 02:23:21 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-04-05 02:23:24 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Thu 2018-04-05 02:23:27 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 18 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-05 02:23:30 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 19 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-05 02:23:33 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 20 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:23:36 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 21 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:23:38 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 22 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:23:42 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 23 | count of Excel Fields: 22 | Count of Insert: 22 | Status OK
[Thu 2018-04-05 02:23:46 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 24 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-05 02:23:49 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 25 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-05 02:23:52 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 26 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-05 02:23:54 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 27 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:23:57 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 28 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-05 02:24:01 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 29 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-05 02:24:05 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 30 | count of Excel Fields: 24 | Count of Insert: 24 | Status OK
[Thu 2018-04-05 02:24:08 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 31 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-04-05 02:24:11 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 32 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-05 02:24:13 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 33 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:24:15 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 34 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:24:18 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 35 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-05 02:24:20 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 36 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-05 02:24:23 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 37 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-04-05 02:24:26 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 38 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:24:30 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 39 | count of Excel Fields: 29 | Count of Insert: 29 | Status OK
[Thu 2018-04-05 02:32:48 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Thu 2018-04-05 02:32:51 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 23 | Count of Insert: 23 | Status OK
[Thu 2018-04-05 02:32:53 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-05 02:32:58 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 39 | Count of Insert: 39 | Status OK
[Thu 2018-04-05 02:33:01 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-05 02:33:03 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-05 02:33:06 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 20 | Count of Insert: 20 | Status OK
[Thu 2018-04-05 02:33:09 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-05 02:33:11 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-05 02:33:14 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-05 02:33:16 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-05 02:33:20 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Thu 2018-04-05 02:33:25 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 27 | Count of Insert: 27 | Status OK
[Thu 2018-04-05 02:33:28 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 22 | Count of Insert: 22 | Status OK
[Thu 2018-04-05 02:33:31 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:33:34 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 24 | Count of Insert: 24 | Status OK
[Thu 2018-04-05 02:33:37 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-05 02:33:40 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-05 02:33:43 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 18 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-05 02:33:46 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 19 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:33:48 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 20 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-05 04:41:32 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 103 | Count of Insert: 103 | Status OK
[Thu 2018-04-05 04:42:04 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 80 | Count of Insert: 80 | Status OK
[Thu 2018-04-05 04:42:32 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 68 | Count of Insert: 68 | Status OK
[Thu 2018-04-05 04:43:00 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 51 | Count of Insert: 51 | Status OK
[Thu 2018-04-05 04:43:26 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 48 | Count of Insert: 48 | Status OK
[Thu 2018-04-05 04:43:51 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 37 | Count of Insert: 37 | Status OK
[Thu 2018-04-05 04:44:13 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 41 | Count of Insert: 41 | Status OK
[Thu 2018-04-05 04:44:36 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 30 | Count of Insert: 30 | Status OK
[Thu 2018-04-05 04:44:59 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 29 | Count of Insert: 29 | Status OK
[Thu 2018-04-05 05:38:51 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 47 | Count of Insert: 47 | Status OK
